epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.9999,1.23309,3.00317,1.70852,0.00017,0.28198,0.00064,0.00016,3.29707,9.26987,2.49776,0.00028339,0.00028339,0.00028339
2,147.655,1.04354,2.57616,1.58913,0.00011,0.27035,9e-05,3e-05,4.07479,11.6008,3.23024,0.000554569,0.000554569,0.000554569
3,224.087,1.08643,2.5069,1.58663,0.00013,0.27616,9e-05,2e-05,3.44283,11.4057,3.33525,0.000796043,0.000796043,0.000796043
4,296.491,1.16256,2.49385,1.66168,0.51385,0.25,0.00954,0.00289,3.59864,9.62352,3.43733,0.00100781,0.00100781,0.00100781
5,369.278,1.16096,2.41032,1.64201,0.52015,0.25,0.01553,0.0093,3.68898,10.6245,3.56269,0.00118987,0.00118987,0.00118987
6,446.448,1.1514,2.2935,1.60176,0.00036,0.00291,0.00018,8e-05,3.36979,14.8834,2.97096,0.00125442,0.00125442,0.00125442
7,517.31,1.13361,2.32053,1.61831,0.01008,0.25,0.00782,0.00249,3.50441,15.308,3.20659,0.0011719,0.0011719,0.0011719
8,589.006,1.11711,2.30392,1.59877,0.02898,0.25,0.03174,0.0127,3.48002,8.67046,3.02587,0.00108938,0.00108938,0.00108938
9,663.705,1.11985,2.11463,1.5858,0.58967,0.25,0.06197,0.031,3.29836,7.79558,2.93162,0.00100687,0.00100687,0.00100687
10,737.686,1.0999,2.11343,1.57271,0.00015,0.27616,8e-05,4e-05,3.34211,7.42739,3.17676,0.000924352,0.000924352,0.000924352
11,811.736,1.34923,2.84178,1.90228,0.59848,0.25,0.06197,0.01241,3.49502,8.13681,3.32446,0.000841835,0.000841835,0.000841835
12,888.949,1.19101,2.5596,1.76451,0.52341,0.25,0.01377,0.0028,3.67706,8.38418,3.66906,0.000759318,0.000759318,0.000759318
13,965.197,1.15032,2.55808,1.78055,0.5341,0.25,0.01905,0.00658,3.72479,7.70191,3.6264,0.000676802,0.000676802,0.000676802
14,1043.32,1.13353,2.46033,1.70016,0.51642,0.25,0.0118,0.00239,3.69852,11.612,3.65454,0.000594286,0.000594286,0.000594286
15,1118.24,0.99575,2.22911,1.60837,0.56114,0.25,0.06188,0.0222,3.6677,13.3635,3.45992,0.000511769,0.000511769,0.000511769
16,1192.94,1.00866,2.22178,1.63188,0.50974,0.25,0.00952,0.00288,3.38418,14.4512,3.11889,0.000429253,0.000429253,0.000429253
17,1254.68,1.00712,2.14111,1.58729,0.54027,0.25,0.02251,0.00676,3.28332,14.0301,3.03975,0.000346736,0.000346736,0.000346736
18,1292.18,1.00265,1.99437,1.56734,0.52507,0.25,0.01376,0.00414,3.25098,8.90635,3.03059,0.00026422,0.00026422,0.00026422
19,1329.22,0.919,1.88884,1.55272,0.51374,0.25,0.00991,0.003,3.17471,8.48758,2.97217,0.000181703,0.000181703,0.000181703
20,1366.51,0.90768,1.89319,1.51511,0.50708,0.25,0.00653,0.00199,3.10855,8.8271,2.88995,9.91865e-05,9.91865e-05,9.91865e-05
